word,SI_t,IR_t,cumulative_importance
asking,0.022205159068107605,0.008259456635776659,0.008259456635776659
please,0.011057090014219284,0.004112807983505535,0.012372264619282194
seri,0.01034080580852571,0.0038463780823428414,0.016218642701625034
wishes,0.00975391399115324,0.0036280771235155658,0.0198467198251406
odd,0.009326643877041838,0.003469149237953374,0.023315869063093974
tpopoca,0.0077777494144226815,0.002893020663140702,0.026208889726234676
learn,0.007745286915451288,0.002880945874497181,0.029089835600731858
independent,0.0075289411470294,0.0028004736523827797,0.03189030925311464
failing,0.0071822473158439,0.0026715170141625813,0.03456182626727722
says,0.006967730199297269,0.0025917249795135927,0.03715355124679081
supreme,0.0068913474678993225,0.002563313570445615,0.03971686481723642
hoku,0.006823742296546698,0.0025381670727588125,0.042255031889995236
accusedtoo,0.006792633421719074,0.002526595779716575,0.04478162766971181
asoryos,0.006764837281985414,0.002516256695449357,0.04729788436516117
mp,0.006709925830364227,0.0024958317684275937,0.04979371613358877
often,0.006665607271272512,0.0024793469859563043,0.05227306311954507
critically,0.00650772824883461,0.002420622122264716,0.054693685241809786
hell,0.006287486890617471,0.002338700892066835,0.05703238613387662
games,0.0061939787119627,0.0023039194818404696,0.059336305615717094
pv,0.006141195663561423,0.002284286238140784,0.061620591853857876
central,0.006003874043623606,0.00223320792964715,0.06385379978350503
interest,0.005872422388718263,0.0021843130201325803,0.06603811280363761
amgs,0.005863996843496959,0.0021811790445922705,0.06821929184822988
moe,0.005783165494600932,0.0021511129226171773,0.07037040477084705
driving,0.005771147087216377,0.0021466425419133348,0.07251704731276039
week,0.005583968013525009,0.002077019197287123,0.0745940665100475
night,0.00550230811867449,0.002046644888401012,0.07664071139844851
argue,0.005449054762721062,0.0020268367085605594,0.07866754810700907
pop,0.005446210503578186,0.002025778754641858,0.08069332686165093
cancer,0.005336429923772812,0.001984944643272883,0.08267827150492381
views,0.005226632580161095,0.0019441042964191224,0.08462237580134294
version,0.005191617334882418,0.0019310799853082107,0.08655345578665115
belet,0.005102706474385091,0.001898008598858114,0.08845146438550926
forever,0.005078529939055443,0.0018890158668292156,0.09034048025233847
standpoint,0.005009128246456385,0.0018632011330228402,0.09220368138536131
debbie,0.0050036851316690445,0.0018611765057543889,0.0940648578911157
temporarily,0.004957748266557853,0.0018440897763053598,0.09590894766742106
media,0.004955027252435684,0.0018430776647470298,0.09775202533216809
dashed,0.004906306974589825,0.0018249556138796336,0.09957698094604772
eyes,0.004839702509343624,0.0018001813399929766,0.1013771622860407
wednesday,0.0048297252506017685,0.0017964701872978067,0.10317363247333851
podcasts,0.0048038372104721415,0.0017868408419650366,0.10496047331530355
islamicop,0.004740612946140269,0.0017633238715179305,0.10672379718682147
lordknightbb,0.004686161526478827,0.0017430700585157033,0.10846686724533718
miss,0.004677344113588333,0.0017397903234241691,0.11020665756876134
bacha,0.004637819299075221,0.0017250886277278279,0.11193174619648917
gerrypimm,0.004634256502391682,0.0017237634057548838,0.11365550960224405
cricket,0.004624609835445881,0.0017201752203663333,0.11537568482261037
wild,0.004617083817720413,0.001717375834113214,0.11709306065672359
plot,0.004606533580674576,0.0017134515557457415,0.11880651221246934
instead,0.00455660539280091,0.0016948802092680783,0.12050139242173742
page,0.00451747328042984,0.0016803245835144485,0.12218171700525186
find,0.004514123064776262,0.0016790784334271486,0.123860795438679
cpc,0.004480401403270662,0.0016665352852318325,0.12552733072391084
allowed,0.0044345358785774025,0.001649475091647126,0.12717680581555796
statistically,0.004430849989876151,0.001648104084224981,0.12882490989978293
sports,0.004368465393781662,0.0016248994377460945,0.13044980933752903
half,0.00436003076342436,0.001621762082888097,0.13207157142041712
via,0.00432954728603363,0.0016104234133994361,0.13368199483381654
drivers,0.0043168701231479645,0.0016057080012378893,0.13528770283505442
winter,0.0042453333735466,0.001579099109160845,0.13686680194421527
party,0.004125294857658446,0.0015344494440285115,0.13840125138824377
voters,0.004125294857658446,0.0015344494440285115,0.13993570083227228
depths,0.0041230544447898865,0.0015336160974680412,0.14146931692974032
kid,0.004113359376788139,0.0015300099087667703,0.1429993268385071
starts,0.004102171460787455,0.0015258484385981064,0.1445251752771052
abt,0.004064760636538267,0.0015119330651640732,0.14603710834226927
election,0.0040440561382898265,0.0015042317960615194,0.14754134013833078
victims,0.004036784948160251,0.0015015271957755445,0.14904286733410632
lectures,0.004032408818602562,0.0014998994455665319,0.15054276677967285
knew,0.004016950793032135,0.0014941496605061293,0.15203691644017897
yemen,0.003994151691181792,0.0014856692802264842,0.15352258572040545
betty,0.003987140161916614,0.0014830612636957945,0.15500564698410124
button,0.003977231681346893,0.0014793756938090387,0.15648502267791028
including,0.0039610909298062325,0.0014733719612075276,0.15795839463911782
profit,0.003960878226078219,0.0014732928436829737,0.1594316874828008
norman,0.003960681328963902,0.0014732196056047226,0.16090490708840552
rodney,0.003918856382369995,0.0014576623501206937,0.1623625694385262
banner,0.003917424908528725,0.0014571298974559346,0.16381969933598214
fiber,0.0039033638313412666,0.0014518997229309104,0.16527159905891306
thought,0.0038909180597825484,0.0014472703793548198,0.16671886943826789
fake,0.0038898458753740695,0.0014468715684028141,0.1681657410066707
prisons,0.0038480857697625955,0.0014313384312455663,0.16959707943791627
ya,0.0038442956283688545,0.0014299286458714085,0.17102700808378768
thise,0.0038351407274603844,0.0014265233783465772,0.17245353146213427
court,0.0037673283368349075,0.0014012998031395021,0.17385483126527376
completely,0.003745399570713441,0.001393143153943664,0.17524797441921744
sad,0.0037229926004047286,0.0013848086313655414,0.17663278305058297
bbc,0.003700248897075653,0.0013763488571839066,0.17800913190776688
today,0.0037000493456919984,0.0013762746318205644,0.17938540653958743
bay,0.003693433478474617,0.001373813786202552,0.18075922032578998
vs,0.0036917392799461425,0.0013731836101594347,0.1821324039359494
ig,0.0036713741719722748,0.0013656085810557408,0.18349801251700515
wait,0.00366961428274711,0.001364953970625145,0.1848629664876303
da,0.003625229001045227,0.0013484443699346477,0.18621141085756493
applying,0.0036198343934948406,0.0013464377854741272,0.18755784864303907
orientation,0.0036034044442754803,0.0013403264825697394,0.1888981751256088
bint,0.003595801070332527,0.0013374983228085417,0.19023567344841735
points,0.0035917460918426514,0.0013359900283219583,0.19157166347673932
beg,0.0035753541936477022,0.0013298928789205967,0.19290155635565992
lancegooden,0.003565091818061649,0.0013260756738344688,0.1942276320294944
westworld,0.0035280628750721616,0.0013123023453952421,0.19553993437488965
shepherd,0.0035229986533522606,0.0013104186516301498,0.1968503530265198
promoting,0.003520960733294487,0.0013096606245296578,0.19816001365104946
fights,0.0035153869539499283,0.0013075873951214573,0.19946760104617092
considerate,0.0034982009480396905,0.0013011948684963416,0.20076879591466726
edd,0.0034966319799423218,0.0013006112733091426,0.2020694071879764
must,0.0034796823821370564,0.0012943066813160362,0.20336371386929242
ull,0.0034796399995684624,0.0012942909166468283,0.20465800478593923
weekly,0.003473030041075415,0.0012918322688447498,0.20594983705478398
simple,0.0034666327510280075,0.0012894527254435526,0.20723928978022754
azureusblaze,0.0034511224438791123,0.0012836834936667864,0.20852297327389432
involving,0.0034111030399799347,0.001268797829930667,0.209791771103825
vitamin,0.0033823316473336447,0.0012580959894626903,0.21104986709328769
feminist,0.0033816372388691613,0.0012578376964875162,0.2123077047897752
hq,0.003359026391990483,0.001249427339744751,0.21355713212951996
conservative,0.003359026391990483,0.001249427339744751,0.21480655946926472
lies,0.0033460836857557297,0.001244613155772114,0.21605117262503684
feelings,0.003345031291246414,0.001244221705893878,0.21729539433093073
tho,0.0033358903601765633,0.0012408216346063683,0.2185362159655371
reversed,0.00332610805829366,0.0012371829982898215,0.21977339896382692
lived,0.0032910381568533663,0.0012241383572098533,0.22099753732103677
platforms,0.0032826471807701246,0.0012210172400460987,0.22221855456108286
protect,0.003277908079326153,0.0012192544783946745,0.22343780903947755
seahawks,0.0032649263739585876,0.0012144257882595144,0.22465223482773705
girls,0.003262720277739896,0.0012136052061597984,0.22586584003389684
parts,0.0032593835854814166,0.0012123640862501722,0.227078204120147
ur,0.0032489914018624475,0.001208498597618065,0.22828670271776508
hit,0.003216304647287837,0.0011963403946011354,0.22948304311236623
joebiden,0.003205234184861183,0.0011922226125996424,0.23067526572496586
restrictive,0.0031958378127051727,0.001188727527150439,0.2318639932521163
podcast,0.0031952504068613052,0.0011885090349937225,0.23305250228711002
girl,0.003186860944081106,0.0011853884807199169,0.23423789076782994
brains,0.00318557924280564,0.0011849117376318686,0.2354228025054618
along,0.0031800915797551474,0.001182870540139958,0.23660567304560176
lt,0.003173759579658508,0.0011805152820643227,0.23778618832766607
interested,0.0031702080741524696,0.001179194259970814,0.2389653825876369
mistressalexisk,0.0031662195558763207,0.0011777106861021553,0.24014309327373903
metal,0.0031448001973330975,0.0011697435167379872,0.24131283679047702
spookylilbtch,0.0031421132405082897,0.0011687440731713533,0.24248158086364838
worry,0.003126214165240526,0.001162830234755683,0.24364441109840407
german,0.0031233904883265495,0.0011617799366266356,0.2448061910350307
everyone,0.003112938025567148,0.0011578920264957715,0.24596408306152648
hater,0.0031017549335956573,0.001153732350678583,0.24711781541220507
gundampodcast,0.003089246839573163,0.0011490798255668225,0.2482668952377719
milk,0.0030850965219239392,0.0011475360686163173,0.2494144313063882
laurant,0.003083056304603815,0.0011467771870234658,0.2505612084934117
club,0.0030829447476814187,0.0011467356921816532,0.25170794418559334
better,0.0030788730519513293,0.001145221179531075,0.2528531653651244
friends,0.003073767820994059,0.0011433222319226447,0.25399648759704707
versus,0.003061668947339058,0.001138821920891829,0.2551353095179389
depression,0.0030479319704075653,0.0011337122990726688,0.25626902181701156
zobscurantist,0.003046554409795337,0.0011331999000349065,0.25740222171704646
fest,0.0030449361850818,0.0011325979832998178,0.2585348197003463
held,0.0030369803287266265,0.0011296387137731067,0.2596644584141194
sheet,0.003031884133815765,0.0011277431272229443,0.26079220154134236
story,0.003019317660029187,0.001123068887106649,0.26191527042844903
asked,0.003017531707882881,0.0011224045822817773,0.26303767501073083
