word,SI_t,IR_t,cumulative_importance
learn,0.012686441652476788,0.0028045929462571268,0.0028045929462571268
name,0.012661008164286613,0.0027989703624364736,0.005603563308693601
japón,0.011938198159138361,0.002639178681092391,0.008242741989785992
fla,0.011145084165036678,0.00246384488976083,0.010706586879546821
distintos,0.010410556569695473,0.002301462799561174,0.013008049679107996
compra,0.01000248920172453,0.002211251305025542,0.015219300984133538
columnas,0.009388778824359179,0.002075578289490282,0.01729487927362382
fernández,0.00887860544025898,0.001962794207585313,0.019257673481209134
querida,0.007649762245515982,0.0016911337175566186,0.020948807198765754
temporarily,0.007361896491299073,0.0016274952059974605,0.022576302404763215
grave,0.006811829283833504,0.0015058917925041184,0.024082194197267336
abortista,0.006504281475726101,0.0014379021672898278,0.025520096364557165
críticas,0.006447754800319672,0.0014254058094092645,0.026945502173966428
more,0.0061197783797979355,0.0013529000287710552,0.028298402202737483
climate,0.005664203502237797,0.0012521860442592774,0.02955058824699676
london,0.005487738735973835,0.001213174960435769,0.03076376320743253
inversión,0.0053232630515205005,0.0011768143041473624,0.031940577511579894
feminicida,0.005248953070905473,0.0011603865891758659,0.03310096410075576
dsp,0.0051448688221474494,0.0011373766737181115,0.03423834077447387
noooo,0.00502771573762099,0.0011114776294079973,0.03534981840388187
media,0.005004653707146645,0.0011063793039857472,0.036456197707867614
mames,0.004968843422830105,0.001098462720790173,0.037554660428657786
xatakaciencia,0.004923021886497736,0.0010883329490933681,0.03864299337775116
chicastentaciones,0.004880347351233165,0.0010788988852426546,0.03972189226299381
versión,0.004818075802177191,0.0010651325075601628,0.04078702477055397
número,0.004806913994252681,0.0010626649655471948,0.04184968973610117
scarlett,0.004746547434478998,0.0010493197240390665,0.04289900946014023
manifestaciones,0.004648692802422577,0.0010276869905790542,0.04392669645071929
bolivianas,0.004637725245406445,0.0010252623916341553,0.044951958842353444
actuaciones,0.004422734025865793,0.0009777342608668325,0.04592969310322027
diferencias,0.0043635740876197815,0.0009646557673025336,0.04689434887052281
problemática,0.0043097695801407095,0.000952761199362501,0.04784711006988531
aguanten,0.00426064245402813,0.0009419006605968238,0.048789010730482134
ctm,0.004207566742681795,0.0009301672076919701,0.049719177938174104
esperar,0.004187023267149925,0.0009256256594669768,0.05064480359764108
superalo,0.004178049353261788,0.0009236417954111268,0.051568445393052206
justo,0.004175654945096799,0.0009231124633545941,0.0524915578564068
niñata,0.004105681036081579,0.0009076433241726224,0.05339920118057942
constructiva,0.004087335430085659,0.0009035876591894532,0.05430278883976887
pinché,0.004046821966767311,0.0008946313437336609,0.05519742018350253
lady,0.004013391708334287,0.0008872409131021916,0.05608466109660472
aislada,0.004012080530325572,0.0008869510508464651,0.05697161214745118
boyé,0.004008417949080467,0.0008861413636381447,0.05785775351108933
largos,0.0040078590003152685,0.00088601779677778,0.05874377130786711
ama,0.003972080536186695,0.0008781082480743955,0.059621879555941504
ro,0.003945990931242704,0.0008723406164562526,0.06049422017239776
cocinas,0.003859862219542265,0.0008533001334018015,0.06134752030579956
leones,0.0037625147961080074,0.0008317795286034716,0.06217929983440303
progreso,0.0037422440946102142,0.0008272982825619312,0.06300659811696496
peiohr,0.0037112628752809197,0.0008204492612541778,0.06382704737821913
temporada,0.003670734353363514,0.0008114896167923603,0.0646385369950115
anticoncepción,0.0036622982930451155,0.0008096246560798693,0.06544816165109137
ganó,0.0036287466064095497,0.0008022073813033155,0.06625036903239469
reflejados,0.003627545643775236,0.0008019418843716162,0.0670523109167663
llegó,0.0036153673539524307,0.0007992496286020208,0.06785156054536833
minimum,0.0036096302792429924,0.0007979813329125751,0.0686495418782809
tableau,0.003597021729431369,0.0007951939595234967,0.0694447358378044
mostré,0.0035965656861662865,0.0007950931419925077,0.07023982897979691
firma,0.003596009686589241,0.000794970227109468,0.07103479920690638
oro,0.0035796798765659332,0.00079136019434696,0.07182615940125334
estableció,0.0035716500133275986,0.0007895850316642667,0.0726157444329176
uñas,0.0035437261685729027,0.0007834119044646386,0.07339915633738224
motivos,0.0035067807572583356,0.0007752443786281742,0.07417440071601042
metiendo,0.003483597654849291,0.0007701192878210076,0.07494452000383142
sunset,0.0034747514873743057,0.0007681636646777041,0.07571268366850913
penal,0.003434880015750726,0.0007593492743911615,0.07647203294290028
pus,0.00340256467461586,0.0007522053186401771,0.07722423826154046
sr,0.00340057909488678,0.0007517663663275464,0.07797600462786801
aguacate,0.0033990326313636243,0.0007514244894792153,0.07872742911734723
verdaderamente,0.0033890929693977034,0.000749227127397598,0.07947665624474483
reforma,0.0033647021278738975,0.0007438350415815105,0.08022049128632634
perro,0.0033567864447832108,0.0007420851207156693,0.080962576407042
sorprendente,0.003353573881591169,0.0007413749190441039,0.08170395132608611
aragón,0.0033363023629555334,0.0007375567026629017,0.08244150802874901
bare,0.0033339234068989754,0.0007370307866055512,0.08317853881535456
novia,0.003326200189933713,0.0007353234142456303,0.08391386222960019
non,0.0033218475679556527,0.0007343611796623019,0.0846482234092625
refiero,0.0033211384434252977,0.000734204413430262,0.08538242782269276
mujerindigena,0.003300538480592271,0.0007296503775518574,0.08611207820024462
ritmo,0.0032941806130111217,0.0007282448431191312,0.08684032304336375
run,0.003280321601778269,0.0007251810300964962,0.08756550407346025
hacía,0.0032616213762334417,0.0007210469693335872,0.08828655104279384
individuales,0.0032527075770000615,0.0007190763948305775,0.08900562743762443
venir,0.003239548565553767,0.0007161673308319433,0.08972179476845638
petrocelli,0.0032355756033211943,0.0007152890276671592,0.09043708379612353
monroe,0.0032298795831127046,0.0007140298079004132,0.09115111360402395
munir,0.0032293125987052917,0.0007139044645998071,0.09186501806862375
civiles,0.003216330738117297,0.0007110345633594325,0.09257605263198318
eliteshergio,0.0031936234195849723,0.0007060146541422772,0.09328206728612545
