Token,SHAP Importance,Importance Ratio,Cumulative Importance
 nar,0.5781883399467915,0.023452318674404043,0.023452318674404043
 masculino,0.4012893969969203,0.016276991715013286,0.03972931038941733
 prend,0.3953065415844321,0.016034316755968857,0.055763627145386185
 mach,0.3804930073030317,0.015433454195001986,0.07119708134038817
 zo,0.36651858437800827,0.014866627441355057,0.08606370878174323
 mujeres,0.3642114804585166,0.014773047317722911,0.10083675609946614
 mans,0.36157760373316705,0.014666212724141038,0.11550296882360718
 novi,0.3394674265291542,0.01376938571136563,0.12927235453497282
 señor,0.32664659663569184,0.013249350685478608,0.14252170522045143
 feminist,0.3258172984015093,0.01321571291536038,0.15573741813581182
 mujer,0.3184782091882214,0.012918026768618389,0.1686554449044302
 lab,0.31515608468325806,0.012783275655211956,0.18143872055964216
 vas,0.3123582707598273,0.012669791485451595,0.19410851204509377
 hombre,0.30262298607106064,0.012274911507539878,0.20638342355263364
mach,0.2965042795985937,0.012026726194635368,0.21841014974726902
 dama,0.2881734974022644,0.011688815266003797,0.23009896501327282
 tú,0.28221165281554156,0.011446992542377165,0.24154595755564998
bia,0.25082871108315885,0.010174046169027912,0.2517200037246779
 Od,0.24858235754072666,0.010082930185718141,0.26180293391039605
 sexual,0.24535561381994497,0.009952047881818051,0.2717549817922141
 fem,0.23098471905685125,0.009369139544975053,0.2811241213371891
 femenino,0.22631992423061834,0.00917992740205015,0.29030404873923926
 doctor,0.2237115434060494,0.009074126966282757,0.299378175705522
 princesa,0.22310118948702107,0.009049369956111053,0.30842754566163305
 nen,0.22008218278642744,0.008926913824897824,0.31735445948653085
 masculin,0.21892642460005496,0.00888003427471552,0.32623449376124636
 Mujeres,0.2137129880741916,0.00866856827592942,0.3349030620371758
 niña,0.20289203570516895,0.008229651739940091,0.3431327137771159
 bella,0.1890880954451859,0.007669740057927703,0.3508024538350436
 ton,0.18395538771292194,0.0074615485585787025,0.3582640023936223
 niños,0.18076799236393223,0.007332262292666285,0.3655962646862886
 ment,0.1670918685849756,0.006777535068101013,0.3723737997543896
apa,0.15734430868178606,0.006382157186270187,0.3787559569406598
ones,0.14898298455851286,0.0060430074242790845,0.3847989643649389
ios,0.14782116040199372,0.005995881827860424,0.3907948461927993
 var,0.1475990183119263,0.00598687136063492,0.3967817175534342
