word,SI_t,IR_t,cumulative_importance
mcinnes,0.016590763504306476,0.0020595840101950923,0.0020595840101950923
bytes,0.01427086815237999,0.0017715912743024086,0.003831175284497501
essays,0.012254886329174042,0.0015213264852924778,0.005352501769789979
aaron,0.01123402485003074,0.0013945963333906746,0.006747098103180653
rte,0.011227480135858059,0.0013937838699583647,0.008140881973139018
robin,0.010176675394177437,0.0012633365494814724,0.009404218522620491
pure,0.010120007209479809,0.0012563017383915717,0.010660520261012062
chuty,0.009932223707437515,0.001232990219419925,0.011893510480431987
cumplir,0.008462945930659771,0.0010505934891669169,0.012944103969598903
snow,0.008391443639993668,0.0010417171662351844,0.013985821135834088
pound,0.008224263178029408,0.0010209633168906836,0.015006784452724771
argue,0.008168160915374756,0.0010139987595893095,0.01602078321231408
learn,0.0076315504011841544,0.0009473837159571914,0.016968166928271272
jim,0.007622504218791922,0.0009462607192606551,0.017914427647531928
cambridge,0.0072990842163562775,0.0009061112309371788,0.018820538878469108
wore,0.007238889113068581,0.0008986385867643412,0.01971917746523345
kaufman,0.007227581925690174,0.0008972349080054462,0.020616412373238895
hills,0.0071886371200283366,0.0008924002842703508,0.021508812657509247
pakistani,0.007094060303643346,0.0008806594804965447,0.02238947213800579
opened,0.00696771555683679,0.0008649749931474613,0.023254447131153252
sexy,0.0067852582161625225,0.0008423246659760869,0.024096771797129338
becker,0.006621886510401964,0.0008220436371484863,0.024918815434277822
sees,0.0066156284883618355,0.0008212667637920581,0.02574008219806988
mystery,0.006614723242819309,0.0008211543862487217,0.026561236584318602
television,0.00660987664014101,0.0008205527270557978,0.0273817893113744
twice,0.006605110752085845,0.0008199610878084389,0.028201750399182837
russel,0.006258746143430471,0.0007769632469014234,0.028978713646084262
jew,0.006233796710148454,0.0007738660142853516,0.029752579660369614
att,0.006207302212715149,0.0007705769767882149,0.03052315663715783
sitio,0.006050278171896934,0.00075108394962274,0.03127424058678057
finds,0.006025895134856303,0.0007480570296623751,0.032022297616442943
debate,0.0060158827698898396,0.0007468140906750396,0.032769111707117986
intersectionality,0.005994091431299846,0.0007441089051958391,0.03351322061231383
aggressive,0.005962643306702375,0.0007402049224433419,0.03425342553475717
independent,0.005907338112592697,0.0007333393135496064,0.03498676484830678
mardel,0.005879174917936325,0.0007298431233124772,0.03571660797161926
holy,0.005850246176123619,0.0007262518977454895,0.03644285986936475
indeed,0.005843306891620159,0.0007253904521946678,0.03716825032155942
título,0.005820341408252716,0.0007225395079136701,0.03789078982947309
drivers,0.0057456158101558685,0.0007132630423096259,0.038604052871782715
popcorn,0.0057165613397955894,0.0007096562087505081,0.03931370908053322
meet,0.005703480914235115,0.0007080323994952013,0.04002174148002842
handbook,0.005664287135004997,0.0007031668680818632,0.04072490834811028
florence,0.005635623509685198,0.0006996085541822311,0.04142451690229251
abstract,0.005633713056643804,0.0006993713897783589,0.04212388829207087
league,0.005621277416745822,0.0006978276244728153,0.042821715916543684
organize,0.0056069368496537205,0.0006960473807442879,0.04351776329728797
chapelle,0.005600771866738796,0.0006952820573020359,0.04421304535459001
james,0.005571513436734676,0.0006916499041112406,0.04490469525870125
atomarten,0.00555372703820467,0.0006894418934912442,0.045594137152192495
franco,0.005514405046900113,0.0006845604457797586,0.046278697597972256
line,0.005491226657547734,0.0006816830712647252,0.04696038066923698
london,0.005487738735973835,0.0006812500792869568,0.04764163074852394
sudden,0.005482982844114304,0.0006806596809713179,0.04832229042949526
martina,0.005479980260133743,0.0006802869389963012,0.04900257736849156
sounds,0.00546709168702364,0.0006786869463808372,0.0496812643148724
anterior,0.005465778522193432,0.0006785239295741456,0.05035978824444655
diga,0.005435645580291748,0.0006747832141269791,0.05103457145857353
resides,0.005429388955235481,0.0006740065141926856,0.05170857797276621
chocker,0.005403571762144566,0.0006708015575272274,0.05237937953029344
zoebroog,0.005395663353600397,0.0006698198045307826,0.05304919933482422
palacios,0.005388798591281687,0.0006689676101937507,0.05371816694501797
funny,0.005343749042789357,0.0006633751412445534,0.05438154208626252
cara,0.005336286965757608,0.0006624487960203903,0.055043990882282914
intelligence,0.0053263029432855545,0.0006612093754816349,0.05570520025776455
seat,0.005307003855705261,0.0006588135790385471,0.0563640138368031
temporarily,0.005301850703766658,0.0006581738646979686,0.05702218770150107
abuser,0.005288640952979526,0.000656534000957353,0.05767872170245842
dumbass,0.0052522427609397295,0.0006520155148547866,0.05833073721731321
nube,0.005241939797997475,0.0006507365009186291,0.05898147371823184
jongleurs,0.005209923804634147,0.0006467620227106487,0.05962823574094249
faltan,0.005186416208744049,0.00064384378036449,0.06027207952130698
sent,0.005165793001651764,0.0006412836071961371,0.06091336312850312
paywall,0.005158876224110523,0.0006404249556685979,0.06155378808417172
universe,0.005121486261487007,0.0006357833507695107,0.062189571434941235
swartz,0.005116737965080473,0.0006351938953564414,0.06282476533029768
llaneros,0.005106922652986314,0.0006339754185914055,0.06345874074888909
pal,0.005050044506788254,0.0006269145427969518,0.06408565529168604
noooo,0.00502771573762099,0.0006241426404711609,0.0647097979321572
taparse,0.005014815367758274,0.0006225411834021142,0.06533233911555932
darkness,0.005013271776513885,0.0006223495613683004,0.06595468867692762
move,0.0049994289098928375,0.0006206311023751038,0.06657531977930273
mundial,0.004976747184991836,0.0006178153839835047,0.06719313516328623
springsteen,0.00497478875848982,0.0006175722641350634,0.06781070742742129
alot,0.004970441792781155,0.0006170326300751776,0.06842774005749647
sucking,0.004917667751821378,0.0006104812395447825,0.06903822129704125
omega,0.00485779345035553,0.0006030484198382842,0.06964126971687953
liking,0.004843028960749507,0.0006012155501995022,0.07024248526707903
tik,0.004717361071102676,0.0005856150881686624,0.0708281003552477
millones,0.004699523727010404,0.0005834007531462113,0.07141150110839391
semanas,0.0046842629089951515,0.0005815062691004015,0.07199300737749431
perfect,0.004639326905210813,0.0005759278956366205,0.07256893527313094
bolivianas,0.004637725245406445,0.0005757290649485697,0.07314466433807951
scott,0.004624679684638977,0.0005741095838225968,0.0737187739219021
britney,0.004606425677510825,0.0005718435240843955,0.07429061744598649
transphobia,0.00460592947072453,0.0005717819247756874,0.07486239937076218
femboy,0.004598359577357769,0.0005708421951886183,0.0754332415659508
bits,0.004532539285719395,0.000562671237886407,0.0759959128038372
