Token,SHAP Importance,Importance Ratio,Cumulative Importance
pussy,1.522558133674353e+20,0.011597357310436752,0.011597357310436752
yeah,1.4978426594680678e+20,0.011409099023854653,0.023006456334291405
shut,1.3878661515727343e+20,0.010571405651360383,0.03357786198565179
baby,1.3597192307477245e+20,0.01035700996374979,0.04393487194940158
think,1.321211376036466e+20,0.010063694824926745,0.05399856677432832
theyre,1.3083997714017919e+20,0.009966108563107109,0.06396467533743543
fight,1.3067059021099162e+20,0.009953206325103459,0.07391788166253889
company,1.30533845127351e+20,0.00994279042333688,0.08386067208587578
slut,1.2959016962021763e+20,0.009870910461585126,0.0937315825474609
post,1.2894788314282626e+20,0.009821987365584888,0.10355356991304579
whore,1.2823447198844566e+20,0.009767646687987007,0.1133212166010328
ive,1.2481825258312897e+20,0.009507432537748332,0.12282864913878112
day,1.242360415057975e+20,0.009463085397599321,0.13229173453638043
hell,1.2329377128056046e+20,0.00939131247646502,0.14168304701284545
ugly,1.2298748546936198e+20,0.009367982621840597,0.15105102963468606
vagina,1.196945980512924e+20,0.009117162694996591,0.16016819232968266
just,1.1564281523598849e+20,0.008808537546215132,0.1689767298758978
yes,1.1557701423439679e+20,0.008803525470091628,0.17778025534598943
avoid,1.1430345807223643e+20,0.008706518429501077,0.1864867737754905
try,1.1098728519209986e+20,0.008453924844116511,0.194940698619607
credit,1.1012077175146724e+20,0.008387922333190634,0.20332862095279763
talk,1.0769559104108963e+20,0.008203195808675259,0.2115318167614729
lady,1.0720453778547299e+20,0.008165792178968878,0.21969760894044177
turn,1.0564294636085305e+20,0.008046845431887857,0.22774445437232962
sidebar,1.0451581621840662e+20,0.007960991691999653,0.23570544606432928
wine,1.0432032886550032e+20,0.007946101379234684,0.24365154744356396
fucking,1.040475620549614e+20,0.007925324673936647,0.2515768721175006
work,1.0278308845929939e+20,0.007829009454345554,0.2594058815718462
crap,1.0200168121705924e+20,0.007769489500441711,0.2671753710722879
rape,1.0175073407187788e+20,0.0077503748036407485,0.27492574587592866
equality,1.011927090831338e+20,0.007707869922943683,0.28263361579887236
feminism,9.905633548601293e+19,0.007545141896956251,0.2901787576958286
raped,9.896319325159422e+19,0.007538047233380815,0.29771680492920943
youre,9.713697068818876e+19,0.007398943476829443,0.3051157484060389
far,9.695088487270303e+19,0.00738476928114613,0.312500517687185
making,9.634085421123561e+19,0.007338303117425429,0.31983882080461046
little,9.35406331700184e+19,0.007125009692071431,0.3269638304966819
sex,9.284451833277915e+19,0.007071986478586127,0.334035816975268
personality,9.260933000246087e+19,0.007054072134026004,0.341089889109294
commie,9.234546741049737e+19,0.007033973664928644,0.34812386277422264
muslim,9.153936955263209e+19,0.006972573021642331,0.355096435795865
face,9.077060577570708e+19,0.006914016123149369,0.3620104519190143
cunt,9.00853227354296e+19,0.006861817969915635,0.36887226988892996
maybe,8.93239525316023e+19,0.0068038242414397545,0.37567609413036973
girl,8.88168309734999e+19,0.006765196685755258,0.382441290816125
bitch,8.838405695401135e+19,0.0067322321977158405,0.38917352301384084
liberty,8.826894976965103e+19,0.006723464459286022,0.39589698747312685
kino,8.609889874056199e+19,0.006558171216226119,0.40245515868935294
life,8.578845044015692e+19,0.006534524303923818,0.40898968299327676
wtf,8.55881205104451e+19,0.0065192651310655965,0.41550894812434236
stop,8.532414685552288e+19,0.006499158202279326,0.42200810632662167
dad,8.510703128761144e+19,0.006482620463830871,0.4284907267904525
burning,8.349707765098652e+19,0.006359989956895037,0.43485071674734754
sending,8.283780677055055e+19,0.00630977315534454,0.4411604899026921
guess,8.276531123181219e+19,0.006304251154919292,0.44746474105761136
guy,8.246962567165669e+19,0.006281728723645128,0.4537464697812565
rapist,8.105566646403242e+19,0.006174027153566964,0.45992049693482345
tbh,7.849147874170515e+19,0.005978712435730222,0.4658992093705537
rule,7.766200565702636e+19,0.005915531296503734,0.4718147406670574
care,7.71943461928292e+19,0.005879909576807467,0.47769465024386487
run,7.646616137845282e+19,0.005824443586422083,0.48351909383028696
dirty,7.442158617161607e+19,0.00566870786311986,0.4891878016934068
islam,7.094609354961276e+19,0.005403978859506131,0.4945917805529129
having,6.8157733314280825e+19,0.005191588874229717,0.49978336942714263
college,6.787530748688749e+19,0.005170076439587423,0.5049534458667301
feminist,6.6900813548906e+19,0.0050958490314795156,0.5100492948982096
tell,6.538088294992847e+19,0.004980075598245349,0.5150293704964549
make,6.488708082346042e+19,0.004942462586468366,0.5199718330829233
come,6.4207055240957936e+19,0.004890664894898542,0.5248624979778218
role,6.404225331583204e+19,0.0048781118976181,0.5297406098754399
way,6.326215069353651e+19,0.004818691316889686,0.5345593011923296
whale,6.11115720203865e+19,0.004654881287275013,0.5392141824796046
red,6.106456516218855e+19,0.004651300765004596,0.5438654832446093
attractive,5.9877870356580385e+19,0.004560909972202062,0.5484263932168113
theyd,5.9023260369513505e+19,0.0044958141498365545,0.5529222073666479
logic,5.76398679469473e+19,0.004390440858201817,0.5573126482248497
white,5.5999081557130535e+19,0.004265461813973897,0.5615781100388236
liberal,5.583356738620584e+19,0.004252854564781237,0.5658309646036048
forget,5.536326767200858e+19,0.004217031736687447,0.5700479963402922
treat,5.432640420381856e+19,0.004138053628352634,0.5741860499686449
trump,5.419020566548956e+19,0.004127679357057332,0.5783137293257022
oppression,5.288962048772694e+19,0.00402861351066649,0.5823423428363688
left,5.286214818057541e+19,0.004026520939255707,0.5863688637756245
expect,5.244492767599073e+19,0.003994741165716076,0.5903636049413405
funny,5.242776859651895e+19,0.00399343415502564,0.5943570390963662
different,5.147198261549194e+19,0.003920631735931621,0.5982776708322978
marriage,5.10302964501059e+19,0.0038869884078657382,0.6021646592401635
natural,5.100142638799869e+19,0.0038847893691661525,0.6060494486093296
hope,5.093438644747714e+19,0.0038796829228039207,0.6099291315321336
cuck,4.976995165925263e+19,0.0037909876802048573,0.6137201192123384
surprised,4.975340774419102e+19,0.003789727526716859,0.6175098467390553
selfish,4.933308029268736e+19,0.003757711096377288,0.6212675578354325
picture,4.881998710673477e+19,0.003718628680544125,0.6249861865159767
wonder,4.876377083284255e+19,0.0037143466751443305,0.6287005331911211
getting,4.779762094760931e+19,0.003640754835288291,0.6323412880264093
did,4.7310918789204574e+19,0.0036036826295712003,0.6359449706559805
